PropertyCategory;16;6;16;1;5;6;1;14;1;1;7;17;22;14;16;16;17;1;1;1;16;33;14;17;16;6;1;6;6;5;33;14;1;1;16;14;16;1;1;2;1;14;5;16;1;1;1;1;16;1;22;1;14;5;5;16;14;6;16;14;16;1;1;1;1;6;1;11;1;17;32;1;1;16;6;12;4;6;16;6;5;16;5;22
StarRating;3;0;0;2.5;3;2.5;3;4;2.5;3;3.5;4;3;3.5;3;0;3;3.5;3;3;2.5;4;4.5;4;3.5;2.5;2;3;0;3;3;3;2.5;3;3.5;4;0;3;2.5;2.5;3;0;0;0;2.5;3;2.5;3;4.5;2.5;2.5;3.5;3.5;3;0;3.5;3;0;0;3.5;3;3.5;0;3;2;3;4;3.5;3.5;4;2.5;3;3;0;3.5;2;0;3;0;2.5;;0;4;3.5
HighRate;84;84;195;68;99;86;151;351;72;94;637;400;59;159;66;73;67;49;101;115;62;180;253;272;143;86;55;61;67;135;40;171;140;122;140;435;75;118;35;70;204;180;108;237;184;140;107;100;262;109;327;289;176;512;97;74;212;172;593;773;103;58;76;476;84;58;242;80;275;2425;57;75;87;87;55;29;359;143;159;2603;80;128;101;229
